PrefabName	DisplayName	NameToken	ItemType	AutoPickup	InZNetScene	MaxStack	Weight
Abomination_attack1	Swing attack	Swing attack	OneHandedWeapon	True	True	1	1
Abomination_attack2	Slam attack	Slam attack	OneHandedWeapon	True	True	1	1
Abomination_attack3	Stub to the ground	Stub to the ground	OneHandedWeapon	True	True	1	1
Acorn	Acorns	$item_oakseeds	Material	True	True	100	0.1
Amber	Amber	$item_amber	Material	True	True	20	0.1
AmberPearl	Amber Pearl	$item_amberpearl	Material	True	True	50	0.1
AncientCoin	Ancient Coin	$item_ancientcoin	Material	True	True	999	0.2
AncientGemstoneBlack	Draumyx	$item_ancientgemstone_black	Material	True	True	20	0.3
AncientGemstoneGreen	Grimvarn	$item_ancientgemstone_green	Material	True	True	20	0.3
AncientGemstoneOrange	Solryth	$item_ancientgemstone_orange	Material	True	True	20	0.3
AncientGemstonePurple	Veydris	$item_ancientgemstone_purple	Material	True	True	20	0.3
AncientSeed	Ancient Seed	$item_ancientseed	Misc	True	True	50	1
ArmorAshlandsMediumChest	Breastplate of Ask	$item_chest_medium_ashlands	Chest	True	True	1	5
ArmorAshlandsMediumlegs	Trousers of Ask	$item_legs_medium_ashlands	Legs	True	True	1	5
ArmorBerserkerChest	Patterns of the Bear	$item_chest_berserker	Chest	True	True	1	5
ArmorBerserkerLegs	Loincloth of the Bear	$item_legs_berserker	Legs	True	True	1	5
ArmorBerserkerUndeadChest	Vilebone Cage	$item_chest_berserker_undead	Chest	True	True	1	5
ArmorBerserkerUndeadLegs	Vilebone Drapes	$item_legs_berserker_undead	Legs	True	True	1	5
ArmorBronzeChest	Bronze Plate Tunic	$item_chest_bronze	Chest	True	True	1	10
ArmorBronzeLegs	Bronze Plate Leggings	$item_legs_bronze	Legs	True	True	1	10
ArmorCarapaceChest	Carapace Breastplate	$item_chest_carapace	Chest	True	True	1	10
ArmorCarapaceLegs	Carapace Greaves	$item_legs_carapace	Legs	True	True	1	10
ArmorDeepNorthHeavyChest	Breastplate of the Protector	$item_chest_heavy_deepnorth	Chest	True	True	1	5
ArmorDeepNorthHeavylegs	Trousers of the Protector	$item_legs_heavy_deepnorth	Legs	True	True	1	5
ArmorDeepNorthMageChest	Robes of the Caller	$item_chest_mage_deepnorth	Chest	True	True	1	5
ArmorDeepNorthMagelegs	Trousers of the Caller	$item_legs_mage_deepnorth	Legs	True	True	1	5
ArmorDeepNorthMediumChest	Chestpiece of the Vanguard	$item_chest_medium_deepnorth	Chest	True	True	1	5
ArmorDeepNorthMediumlegs	Trousers of the Vanguard	$item_legs_medium_deepnorth	Legs	True	True	1	5
ArmorDress1	Plain Brown Dress	$item_chest_dress1	Chest	True	True	1	10
ArmorDress10	Simple Undyed Dress	$item_chest_dress10	Chest	True	True	1	10
ArmorDress2	Brown Dress with Shawl	$item_chest_dress2	Chest	True	True	1	10
ArmorDress3	Brown Dress with Beads	$item_chest_dress3	Chest	True	True	1	10
ArmorDress4	Plain Blue Dress	$item_chest_dress4	Chest	True	True	1	10
ArmorDress5	Blue Dress with Shawl	$item_chest_dress5	Chest	True	True	1	10
ArmorDress6	Blue Dress with Beads	$item_chest_dress6	Chest	True	True	1	10
ArmorDress7	Plain Yellow Dress	$item_chest_dress7	Chest	True	True	1	10
ArmorDress8	Yellow Dress with Shawl	$item_chest_dress8	Chest	True	True	1	10
ArmorDress9	Yellow Dress with Beads	$item_chest_dress9	Chest	True	True	1	10
ArmorFenringChest	Fenris Coat	$item_chest_fenris	Chest	True	True	1	10
ArmorFenringLegs	Fenris Leggings	$item_legs_fenris	Legs	True	True	1	10
ArmorFlametalChest	Flametal Breastplate	$item_chest_flametal	Chest	True	True	1	10
ArmorFlametalLegs	Flametal Greaves	$item_legs_flametal	Legs	True	True	1	10
ArmorGoldHeavyChestUncooked	Cast: Breastplate of the Protector	$item_chest_heavy_gold_uncooked	Material	True	True	10	1
ArmorGoldHeavyHelmetUncooked	Cast: Helmet of the Protector	$item_helmet_heavy_gold_uncooked	Material	True	True	10	1
ArmorGoldHeavyLegsUncooked	Cast: Trousers of the Protector	$item_legs_heavy_gold_uncooked	Material	True	True	10	1
ArmorGoldMageChestUncooked	Cast: Robes of the Caller	$item_chest_mage_gold_uncooked	Material	True	True	10	1
ArmorGoldMageHelmetUncooked	Cast: Headdress of the Caller	$item_helmet_mage_gold_uncooked	Material	True	True	10	1
ArmorGoldMageLegsUncooked	Cast: Trousers of the Caller	$item_legs_mage_gold_uncooked	Material	True	True	10	1
ArmorGoldMediumChestUncooked	Cast: Chestpiece of the Vanguard	$item_chest_medium_gold_uncooked	Material	True	True	10	1
ArmorGoldMediumHelmetUncooked	Cast: Hood of the Vanguard	$item_helmet_medium_gold_uncooked	Material	True	True	10	1
ArmorGoldMediumLegsUncooked	Cast: Trousers of the Vanguard	$item_legs_medium_gold_uncooked	Material	True	True	10	1
ArmorHarvester1	Harvest Tunic	$item_chest_harvester1	Chest	True	True	1	10
ArmorHarvester2	Harvest Dress	$item_chest_harvester2	Chest	True	True	1	10
ArmorIronChest	Iron Scale Mail	$item_chest_iron	Chest	True	True	1	15
ArmorIronLegs	Iron Greaves	$item_legs_iron	Legs	True	True	1	15
ArmorLeatherChest	Leather Tunic	$item_chest_leather	Chest	True	True	1	5
ArmorLeatherLegs	Leather Trousers	$item_legs_leather	Legs	True	True	1	5
ArmorLoxChest	Lox Fur Jacket	$item_chest_lox	Chest	True	True	1	5
ArmorLoxLegs	Lox Fur Trousers	$item_legs_lox	Legs	True	True	1	5
